"Date","totalTimeInBed","totalMinutesAsleep","totalSleepRecords","efficiency","day","Work","Drink","Glass","Bath","Stretch","Tobacco","steps","weekday","step8000"
2017-10-01,423,393,1,0.929078014184397,7,0,0,0,1,1,0,4593,0,0
2017-10-02,357,343,1,0.96078431372549,1,1,1,0,0,0,1,11672,1,1
2017-10-03,590,535,1,0.906779661016949,2,1,0,0,0,1,1,8426,1,1
2017-10-04,426,402,1,0.943661971830986,3,1,0,0,0,1,1,4068,1,0
2017-10-12,463,443,1,0.956803455723542,4,1,0,0,0,1,0,5982,1,0
2017-10-15,426,394,1,0.924882629107981,7,0,0,0,1,1,1,1700,0,0
2017-10-16,440,418,1,0.95,1,1,1,0,0,0,1,7256,1,0
2017-10-17,417,401,1,0.961630695443645,2,1,0,1,1,0,1,6599,1,0
2017-10-19,381,351,1,0.921259842519685,4,1,0,1,0,0,0,6061,1,0
2017-10-20,588,569,1,0.967687074829932,5,1,1,0,0,0,0,10419,1,1
2017-10-22,332,311,1,0.936746987951807,7,0,1,0,0,0,1,11247,0,1
2017-10-23,451,428,1,0.9490022172949,1,1,0,0,0,0,1,11805,1,1
2017-10-24,422,404,1,0.957345971563981,2,1,0,1,0,0,0,4722,1,0
2017-10-25,447,425,1,0.950782997762864,3,1,1,1,1,1,0,7386,1,0
2017-10-27,484,469,1,0.96900826446281,5,1,1,0,0,0,0,9320,1,1
2017-10-29,450,423,1,0.94,7,0,0,0,0,0,0,5801,0,0
2017-10-30,407,394,1,0.968058968058968,1,1,1,0,0,1,0,3794,1,0
2017-10-31,425,390,1,0.917647058823529,2,1,0,1,0,0,0,5581,1,0
2017-11-06,396,374,1,0.944444444444444,1,1,0,0,0,1,0,6727,1,0
2017-11-07,455,424,1,0.931868131868132,2,1,0,1,0,0,1,4584,1,0
2017-11-09,443,412,1,0.930022573363431,4,1,1,1,0,0,1,6308,1,0
2017-11-16,444,426,1,0.959459459459459,4,1,1,1,0,0,0,10501,1,1
2017-11-19,453,417,1,0.920529801324503,7,0,0,1,0,0,1,1357,0,0
2017-11-20,463,441,1,0.952483801295896,1,1,0,0,0,0,0,4657,1,0
2017-11-21,396,369,1,0.931818181818182,2,1,0,1,0,1,0,7861,1,0
2017-11-26,349,325,1,0.931232091690544,7,0,0,0,0,1,0,5681,0,0
2017-11-27,378,350,1,0.925925925925926,1,1,0,0,0,1,0,6656,1,0
2017-11-28,415,377,1,0.908433734939759,2,1,0,0,1,1,0,7583,1,0
2017-11-29,399,370,1,0.927318295739348,3,1,1,0,0,0,0,9164,1,1
2017-11-30,403,383,1,0.950372208436725,4,1,0,1,0,0,1,12208,1,1
2017-12-03,433,391,1,0.903002309468822,7,1,1,0,0,1,0,18182,0,1
2017-12-11,425,410,1,0.964705882352941,1,1,0,0,1,1,0,8075,1,1
2017-12-14,404,384,1,0.95049504950495,4,1,0,0,0,1,0,11299,1,1
2017-12-17,414,381,1,0.920289855072464,7,0,0,0,0,0,1,1684,0,0
2017-12-19,425,410,1,0.964705882352941,2,1,0,1,0,0,0,11135,1,1
2017-12-20,423,409,1,0.966903073286052,3,1,0,0,0,1,0,10322,1,1
2018-02-17,380,351,1,0.923684210526316,6,0,0,1,0,0,0,4102,0,0
2018-02-18,407,392,1,0.963144963144963,7,0,1,1,0,0,0,4616,0,0
2018-02-19,399,380,1,0.952380952380952,1,1,0,0,1,1,0,8550,1,1
2018-02-20,390,374,1,0.958974358974359,2,1,0,1,0,0,0,7423,1,0
2018-02-21,398,380,1,0.954773869346734,3,1,0,1,0,1,0,11506,1,1
2018-02-22,414,395,1,0.954106280193237,4,1,1,1,0,0,0,13262,1,1
2018-02-24,436,415,1,0.951834862385321,6,0,0,1,0,0,0,11086,0,1
